volume,vwap,open,close,high,low,timestamp,trades
9764.0,256.8454,256.9,256.65,256.98,256.62,2025-10-02 08:00:00,141
3063.0,256.7769,256.78,256.8,256.8,256.78,2025-10-02 08:01:00,332
631.0,256.7846,256.75,256.8,256.8,256.75,2025-10-02 08:02:00,15
17738.0,256.6653,256.85,256.8,256.85,256.55,2025-10-02 08:03:00,115
4123.0,256.8917,256.8,256.91,257.0,256.8,2025-10-02 08:04:00,119
5669.0,257.017,256.85,257.14,257.2,256.85,2025-10-02 08:06:00,116
7813.0,256.9588,256.94,257.1,257.1,256.7,2025-10-02 08:07:00,100
2698.0,256.8173,256.89,256.8,256.89,256.79,2025-10-02 08:09:00,70
8037.0,257.1108,256.89,256.92,257.26,256.89,2025-10-02 08:10:00,150
2189.0,256.9896,256.94,257.26,257.26,256.9,2025-10-02 08:11:00,68
1424.0,256.9366,257.04,256.95,257.04,256.82,2025-10-02 08:12:00,46
4117.0,257.1956,257.05,257.15,257.3,257.03,2025-10-02 08:13:00,93
1084.0,257.019,257.01,257.0,257.01,257.0,2025-10-02 08:14:00,48
4179.0,257.181,257.05,257.13,257.4,257.05,2025-10-02 08:15:00,60
775.0,257.0576,257.06,257.05,257.06,257.05,2025-10-02 08:16:00,41
512.0,256.9996,257.02,257.02,257.02,257.02,2025-10-02 08:17:00,18
1030.0,257.0334,257.02,257.1,257.1,257.02,2025-10-02 08:18:00,29
659.0,256.9655,256.96,256.94,256.96,256.94,2025-10-02 08:19:00,22
276.0,256.8996,256.94,256.94,256.94,256.94,2025-10-02 08:20:00,20
1744.0,256.8583,256.81,256.89,256.89,256.81,2025-10-02 08:22:00,74
5101.0,256.675,256.84,256.71,256.84,256.5,2025-10-02 08:23:00,110
1665.0,256.6956,256.71,256.71,256.71,256.71,2025-10-02 08:24:00,46
754.0,256.3855,256.58,256.26,256.58,256.26,2025-10-02 08:26:00,47
2218.0,256.5266,256.53,256.6,256.6,256.49,2025-10-02 08:28:00,71
480.0,256.6639,256.69,256.68,256.69,256.68,2025-10-02 08:29:00,24
1464.0,256.6965,256.68,256.7,256.7,256.68,2025-10-02 08:30:00,61
4859.0,256.5453,256.69,256.51,256.72,256.46,2025-10-02 08:34:00,83
837.0,256.4238,256.43,256.43,256.43,256.43,2025-10-02 08:35:00,38
